route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
1_259,1_954_151_10_259_2,1_13303_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13304_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13305_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13306_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13307_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13308_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13309_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13310_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13311_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13312_954,,0,1_259_I
1_259,1_954_151_10_259_2,1_13313_954,,0,1_259_I
1_260,1_954_151_10_260_2,1_13314_954,,1,1_260_V
1_259,1_955_152_10_259_3,1_13325_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13326_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13327_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13328_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13329_955,,0,1_259_I
1_259,1_955_152_10_259_3,1_13330_955,,0,1_259_I
1_267,1_111_163_10_267_2,1_13514_111,,1,1_267_V
1_267,1_111_163_10_267_2,1_13515_111,,1,1_267_V
1_267,1_111_163_10_267_2,1_13516_111,,0,1_267_I
1_267,1_111_163_10_267_2,1_13517_111,,0,1_267_I
1_267,1_112_164_10_267_3,1_13518_112,,1,1_267_V
1_267,1_112_164_10_267_3,1_13519_112,,0,1_267_I
1_277,1_181_176_10_277_1,1_13714_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13715_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13716_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13717_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13718_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13719_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13720_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13721_181,,1,1_277_V
1_277,1_181_176_10_277_1,1_13726_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13727_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13728_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13729_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13730_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13731_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13732_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13733_181,,0,1_277_I
1_277,1_181_176_10_277_1,1_13734_181,,0,1_277_I
1_277,1_297_178_10_277_3,1_13770_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13771_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13772_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13773_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13774_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13775_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13776_297,,1,1_277_V
1_277,1_297_178_10_277_3,1_13777_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13778_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13779_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13780_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13781_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13782_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13783_297,,0,1_277_I
1_277,1_297_178_10_277_3,1_13784_297,,0,1_277_I
1_263,1_971_160_10_263_2,1_14197_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14198_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14200_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14202_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14204_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14206_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14208_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14210_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14212_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14215_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14217_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14218_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14220_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14222_971,,0,1_263_I
1_263,1_971_160_10_263_2,1_14223_971,,0,1_263_I
1_263,1_972_191_10_263_3,1_14225_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14226_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14227_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14228_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14229_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14230_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14231_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14232_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14233_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14234_972,,0,1_263_I
1_263,1_972_191_10_263_3,1_14235_972,,0,1_263_I
